month,region,transactions
2025-01,الرياض,42100
2025-02,الرياض,43800
2025-03,الرياض,45200
2025-04,الرياض,47900
2025-05,الرياض,50300
2025-06,الرياض,52800
2025-07,الرياض,55100
2025-08,الرياض,58400
2025-09,الرياض,61200
2025-10,الرياض,64500
2025-11,الرياض,67800
2025-12,الرياض,71400
2025-01,مكة المكرمة,28500
2025-02,مكة المكرمة,27900
2025-03,مكة المكرمة,29400
2025-04,مكة المكرمة,31200
2025-05,مكة المكرمة,38600
2025-06,مكة المكرمة,55300
2025-07,مكة المكرمة,33100
2025-08,مكة المكرمة,30800
2025-09,مكة المكرمة,30200
2025-10,مكة المكرمة,31500
2025-11,مكة المكرمة,32100
2025-12,مكة المكرمة,33400
2025-01,الشرقية,30200
2025-02,الشرقية,29800
2025-03,الشرقية,30500
2025-04,الشرقية,31100
2025-05,الشرقية,30700
2025-06,الشرقية,30900
2025-07,الشرقية,31400
2025-08,الشرقية,30600
2025-09,الشرقية,31000
2025-10,الشرقية,31800
2025-11,الشرقية,31200
2025-12,الشرقية,31600
2025-01,عسير,14800
2025-02,عسير,15100
2025-03,عسير,15300
2025-04,عسير,14900
2025-05,عسير,15600
2025-06,عسير,16200
2025-07,عسير,19800
2025-08,عسير,20400
2025-09,عسير,15800
2025-10,عسير,15200
2025-11,عسير,15500
2025-12,عسير,15900
2025-01,المدينة المنورة,18200
2025-02,المدينة المنورة,19100
2025-03,المدينة المنورة,19800
2025-04,المدينة المنورة,20600
2025-05,المدينة المنورة,22400
2025-06,المدينة المنورة,26800
2025-07,المدينة المنورة,21900
2025-08,المدينة المنورة,21200
2025-09,المدينة المنورة,20800
2025-10,المدينة المنورة,21500
2025-11,المدينة المنورة,22900
2025-12,المدينة المنورة,22900
